user,location,date,coordinates,content
racheljones360,,2021-09-06 00:08:58,,"@WhiteHouse Potus:  #Haiti:  USA flew in over 50,000 Afghans, but not one plane load of Haitians after an earthquake, hurricane and the assassination of their President, Jovenel Moise.  USA is telling Haiti, a Black Nation, that Haitian are not important!  Shameful!"
Slate,,2021-09-06 00:07:25,,“A lot of assistance is actually help that harms.” https://t.co/jRlwbXQ4Ue
CCDOY,"Youngstown, OH USA",2021-09-06 00:00:23,,"POWERFUL EARTHQUAKE STRIKES HAITI

Ways to Give:
Donate by Phone
Call 877-435-7277 from 8 a.m. to 11 p.m. Eastern Time.

Donate by Mail
Mail your check or money order directly to 
Catholic Relief Services
P.O. Box 17090
Baltimore, MD 21297-0303

Online:
https://t.co/xXAn0lWWVP https://t.co/C75QEVv5hd"
sexy_vegetables,,2021-09-05 23:59:41,,"&lt;br&gt;After the earthquake, Sean Penn brought __________ to the people of Haiti. &lt;br&gt; &lt;br&gt; --A time travel paradox.--&lt;br&gt;"
ATGBrokers,on Earth! ,2021-09-05 23:49:27,,New post (Haiti death toll rises as tropical storm hits earthquake zone) published on https://t.co/RaBjl5DDcP - https://t.co/kqCkYpvFOk
worldhopeorg,"Alexandria, VA",2021-09-05 23:48:33,,Learn more: https://t.co/SRHufOd0w3
kettlyExcellent, Haiti,2021-09-05 23:45:15,,"For everyone who donated 💜
On top of putting together essential packages &amp; basic medical care for the survivors of the recent earthquake and hurricane in Haiti, C.E.H.A.H have also teamed up with a group of nurses and psychologists to offer mental health services. https://t.co/m8EkcsZwcl"
gayandwarlike,"Richmond, VA",2021-09-05 23:44:50,,"#HelpForHaiti #HaitiEarthquake #Haiti ❤🙏
https://t.co/qO4AMDPKCH"
wnoelht,Haiti,2021-09-05 23:38:03,,"The earthquake of August 14, 2014 left Haïti with structural devastation, deaths, injured and disabled people."
ICTPulse,Jamaica,2021-09-05 23:25:00,,"#Podcast 
ICTP 170:  Telecoms response and recovery in #Haiti, post the 2021 #earthquake https://t.co/6ylGpqiUcu

#DisasterResponse #DisasterRecovery #telecoms #ICT #infrastructure"
AyitiDiaspora,,2021-09-06 00:30:06,,"Bon..
#Haiti #earthquake #prayforhaiti https://t.co/A84OMQP265"
racheljones360,,2021-09-06 00:08:58,,"@WhiteHouse Potus:  #Haiti:  USA flew in over 50,000 Afghans, but not one plane load of Haitians after an earthquake, hurricane and the assassination of their President, Jovenel Moise.  USA is telling Haiti, a Black Nation, that Haitian are not important!  Shameful!"
Slate,,2021-09-06 00:07:25,,“A lot of assistance is actually help that harms.” https://t.co/jRlwbXQ4Ue
