,0
0,"A U.S. Coast Guard helicopter lifts off during a medical evacuation of people injured in Saturday's 7.2 magnitude earthquake, in Les Cayes, Haiti, August 17, 2021."
1,REUTERS/Estailove St-Val
2,"LES CAYES, Aug 18 (Reuters) - Days before a powerful earthquake struck, Rosemond Clermont paid the $1,554 rent on the office of his construction business in southern Haiti for the rest of the year."
3,"On Saturday morning, the investment vanished when his small shop collapsed along with hundreds of other buildings in his home town as the coastal city of Les Cayes began crumbling."
4,"""I don't know what to do."
5,"I'm still in shock,"" said Clermont, 36, the main breadwinner for a family of four."
6,"Dozens of businesses ranging from hotels, restaurants to corner shops in downtown Les Cayes and surrounding areas suffered a similar fate, with premises either badly damaged or flattened."
7,Clermont said the loss capped a tough few years.
8,"He opened the construction business four years ago with the help of a bank loan worth $5,180 to supplement another job at a cell phone service provider, worried that he otherwise would not be able to feed his wife, daughter, 4, and 1-year-old son."
9,The loan saddled Clermont with a monthly debt of $207 that he is struggling to pay off.
10,"""The economic situation is so much worse than before,"" he said."
11,"""I owe money to the bank, we have nowhere to sleep, and I have my family to feed."""
12,"Since a devastating earthquake that killed tens of thousands of people in 2010, Haiti's economy has been buffeted by chronic political instability, drought and a major hurricane in 2016."
13,"Opposition-backed protests against the government dragged Haiti into recession in 2019 before the coronavirus pandemic even hit, and a steady deprecation in the gourde currency has put pressure on businesses heavily reliant on foreign imports."
14,"Haitian economist Etzer Emile told Reuters that in the past, small businesses have been overlooked in post-disaster responses."
15,"""And that's the big mistake,"" he said."
16,"""Because these entities are the very backbone of the national economy."""
17,"Clermont's family has been spending nights in the car since the earthquake, scared of possible structural damage at their home after they watched the walls shake violently."
18,"The entire facade of Clermont's office has gone, and as he stood outside the now empty shell, he warily kept his distance from the battered building lest it crumble further."
19,"""I don't know how to get out of this,"" he said."
20,"""It's a crisis for me."""
21,Our Standards: The Thomson Reuters Trust Principles.
22,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
23,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
24,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
25,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
26,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
27,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
28,"The industry leader for online information for tax, accounting and finance professionals."
29,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
30,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
31,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
32,All quotes delayed a minimum of 15 minutes.
33,See here for a complete list of exchanges and delays.
34,© 2021 Reuters.
35,All rights reserved
36,Discover Thomson Reuters
37,"Posted August 24, 2021"
38,"Many survivors of the earthquake that killed more than 2,200 people in southern Haiti are growing worried about how they will provide for their children."
39,Load More
40,Load More
41,All quotes delayed a minimum of 15 minutes.
42,See here for a complete list of exchanges and delays.
43,One desperate moment: Migrants collecting food try to evade law enforcement at U.S.-Mexico border
44,"LES CAYES, Haiti, Aug 17 (Reuters) - Survivors of the earthquake that killed at least 1,941 people in Haiti clamored for food, shelter and medical care on Tuesday as search and rescue efforts resumed after a tropical storm lashed the Caribbean nation with rain, causing dangerous flooding."
45,"Quake damage to several major hospitals hampered humanitarian efforts, and doctors in makeshift tents outside battled to save the lives of the many injured, including young children and the elderly."
46,But they could not help them all.
47,"""There weren't enough doctors and now she's dead,"" said Lanette Nuel, sitting listlessly next to her daughter's body outside the main hospital of Les Cayes, one of the towns worst hit by both the tremor and the storm's heavy rains and winds."
48,"The 26-year-old deceased woman, herself a mother of two, had been crushed by debris during the magnitude 7.2 quake."
49,Now she lay under a white sheet on the floor.
50,"""We came in yesterday afternoon, she died this morning."
51,"I can't do anything,"" her mother said."
52,"Saturday's quake knocked down tens of thousands of buildings in the poorest country in the Americas, which is still recovering from a temblor 11 years ago that killed over 200,000 people."
53,"Aside from the dead, the latest quake also injured at least 9,915, with many people still missing or under the rubble, the civil protection service said on Tuesday afternoon."
54,Relief efforts were already complicated due to political turmoil and difficult road access from the capital to the south due to gang control of key points.
55,"Flash flooding and landslides in the wake of Tropical Storm Grace, which by Tuesday afternoon had continued on past Jamaica, exacerbated the situation."
56,"""Countless Haitian families who have lost everything due to the earthquake are now living literally with their feet in the water due to the flooding,"" said Bruno Maes, the United Nations Children's Fund (UNICEF) representative in the country."
57,"""Right now, about half a million Haitian children have limited or no access to shelter, safe water, healthcare and nutrition."""
58,The United Nations said it had allocated $8 million in emergency funds to provide relief for affected people.
59,"Latin America countries including Venezuela, Chile, Mexico, Panama, Colombia and the neighboring Dominican Republic sent food, medicine and supplies."
60,The United States also dispatched supplies and search and rescue teams.
61,"Although criminal gangs have been blocking access roads for months, the United Nations Office for the Coordination of Human Affairs said ""successful negotiations"" had made it possible for a convoy to reach Les Cayes."
62,"Haitian firefighters search for survivors under the rubble of a destroyed building after Saturday's 7.2 magnitude quake, in Les Cayes, Haiti August 17, 2021."
63,REUTERS/Ricardo Arduengo
64,"The hospital in Les Cayes, about 150 km (90 miles) west of the capital Port-au-Prince, was even more overwhelmed on Tuesday than before as patients who had been camping outside moved indoors to escape the tropical storm."
65,Director Peterson Gede said medics were doing the best they could.
66,"""We couldn't handle all the patients,"" he said."
67,"""And we have been receiving supplies, but it's not enough."""
68,"At a tent city in Les Cayes containing many children and babies, over a hundred people scrambled to repair makeshift coverings made of wooden poles and tarps that were destroyed by Grace overnight."
69,Some took cover under plastic sheets.
70,"Mathieu Jameson, deputy head of the committee formed by the tent city residents, said hundreds of people there were in urgent need of food, shelter and medical care."
71,"""We don't have a doctor."
72,We don't have food.
73,Every morning more people are arriving.
74,"We have no bathroom, no place to sleep."
75,"We need food, we need more umbrellas,"" said Jameson, adding the tent city was still waiting for government aid."
76,SMELL OF DECAY
77,Haiti's latest natural disaster comes just over a month after the country was plunged into political turmoil by the July 7 assassination of President Jovenel Moise.
78,"U.S. national security adviser Jake Sullivan said on Tuesday it was too early to gauge the impact of the quake on Haiti's political process and that the United States, the country's main donor, had no current plans to deploy its military there."
79,read more
80,Rescue workers have been digging alongside residents through the rubble in a bid to reach survivors.
81,"On Tuesday morning 16 people were recovered alive alongside nine dead, Haitian civil protection authorities said."
82,"But hopes were fading, and a smell of dust and decomposing bodies permeated the air."
83,"""We came from all over to help: from the north, from Port-au Prince, from everywhere,"" said Maria Fleurant, a firefighter from northern Haiti."
84,"Prime Minister Ariel Henry, who was sworn in less then a month ago after Moise's assassination, vowed to disburse humanitarian aid better than in the wake of the 2010 quake."
85,"Though billions of dollars in aid poured into Haiti after that quake and Hurricane Matthew in 2016, many Haitians say they saw scant benefits from the uncoordinated efforts: government bodies remained weak, amid persistent shortages of food and basic goods."
86,"""The earthquake is a great misfortune that happens to us in the middle of the hurricane season,"" Henry told reporters."
87,"He said the government would not repeat ""the same things"" done in 2010."
88,Our Standards: The Thomson Reuters Trust Principles.
89,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
90,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
91,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
92,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
93,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
94,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
95,"The industry leader for online information for tax, accounting and finance professionals."
96,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
97,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
