,0
0,This post contains references to products from one or more of our advertisers.
1,We may receive compensation when you click on links to those products.
2,Terms apply to the offers listed on this page.
3,"For an explanation of our Advertising Policy, visit this page."
4,We know you have strong opinions— we want to hear them!
5,Which nominees should take home trophies this year?
6,CAST MY VOTE
7,Breaking news out of Mexico late Tuesday night Sept. 7 as the New York Times and others report that a major earthquake measuring at least 7.0 hit near the popular tourist town of Acapulco.
8,Reuters reporting that there are several damaged buildings in Acapulco.
9,"According to Reuters, the United States Geological Service pegs the quake’s epicenter as just 11 miles northeast of the city."
10,There were widespread reports of power outages and major shaking being reported as far away as Mexico City.
11,"The U.S. Tsunami warning system said a tsunami threat was issued, but so far no reports of damaging tsunami waves."
12,There have already been several aftershocks as well.
13,"So far, just one person is reported to have been killed."
14,Featured image by Francisco Robles/AFP via Getty Images.
15,Welcome to The Points Guy!
16,"Earn 90,000 bonus miles and 10,000 Medallion® Qualification Miles (MQMs) after you spend $3,000 in purchases on your new card in the first three months of card membership."
17,Offer ends 11/10/2021.
18,"With Status Boost™, earn 10,000 Medallion Qualification Miles (MQMs) after you spend $25,000 in purchases on your Card in a calendar year, up to two times per year getting you closer to Medallion Status."
19,"Earn 3X Miles on Delta purchases and purchases made directly with hotels, 2X Miles at restaurants and at U.S. supermarkets and earn 1X Mile on all other eligible purchases."
20,Terms Apply.
21,"Editorial Disclaimer: Opinions expressed here are the author’s alone, not those of any bank, credit card issuer, airlines or hotel chain, and have not been reviewed, approved or otherwise endorsed by any of these entities."
22,Disclaimer: The responses below are not provided or commissioned by the bank advertiser.
23,"Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser."
24,It is not the bank advertiser’s responsibility to ensure all posts and/or questions are answered.
25,This post contains references to products from one or more of our advertisers.
26,We may receive compensation when you click on links to those products.
27,Terms apply to the offers listed on this page.
28,"For an explanation of our Advertising Policy, visit this page."
29,We know you have strong opinions— we want to hear them!
30,Which nominees should take home trophies this year?
31,CAST MY VOTE
32,Breaking news out of Mexico late Tuesday night Sept. 7 as the New York Times and others report that a major earthquake measuring at least 7.0 hit near the popular tourist town of Acapulco.
33,Reuters reporting that there are several damaged buildings in Acapulco.
34,"According to Reuters, the United States Geological Service pegs the quake’s epicenter as just 11 miles northeast of the city."
35,There were widespread reports of power outages and major shaking being reported as far away as Mexico City.
36,"The U.S. Tsunami warning system said a tsunami threat was issued, but so far no reports of damaging tsunami waves."
37,There have already been several aftershocks as well.
38,"So far, just one person is reported to have been killed."
39,Featured image by Francisco Robles/AFP via Getty Images.
40,Welcome to The Points Guy!
41,"Earn 90,000 bonus miles and 10,000 Medallion® Qualification Miles (MQMs) after you spend $3,000 in purchases on your new card in the first three months of card membership."
42,Offer ends 11/10/2021.
43,"With Status Boost™, earn 10,000 Medallion Qualification Miles (MQMs) after you spend $25,000 in purchases on your Card in a calendar year, up to two times per year getting you closer to Medallion Status."
44,"Earn 3X Miles on Delta purchases and purchases made directly with hotels, 2X Miles at restaurants and at U.S. supermarkets and earn 1X Mile on all other eligible purchases."
