,0
0,"An earthquake destroyed houses, killed at least three people and injured dozens Thursday in southwest China's Sichuan province."
1,Rescue work was underway following the magnitude-6.0 earthquake.
2,"It struck at 4:33 a.m. local time in Luxian county at a depth of 10 kilometres, the official Xinhua News Agency said."
3,"State broadcaster CCTV said that 88 people were injured, three seriously, and 35 houses had collapsed."
4,"The epicentre was about 200 kilometres southeast of Chengdu, the provincial capital."
5,Western China is regularly hit by earthquakes.
6,"A magnitude-7.9 quake in May 2008 left nearly 90,000 people dead in Sichuan, many of them in collapsed schools and other poorly constructed buildings."
7,"Xinhua reported that collapsed walls and houses could be seen on the way to the epicentre, and that electricity had been suspended in much of Jiaming town."
8,Residents could be seen cleaning up.
9,"Rescue workers were going door-to-door in heavy rain searching for people in damaged homes in Fuji town to move them to temporary shelters, Xinhua said."
10,"Workers distributed mooncakes, a traditional treat for the next week's Mid-Autumn Festival, and other food at one shelter."
11,"Lai Jianrong, a Fuji resident, told Xinhua that she felt a mild tremor around 4 a.m. and ran out barefoot in her nightgown when the tremors became intense."
12,"""Some bricks fell off the wall and I didn't dare to go in again,"" the agency quoted her as saying."
13,"More than 3,200 people have been moved to 79 shelters, CCTV said."
14,"Audience Relations, CBC P.O."
15,"Box 500 Station A Toronto, ON  Canada, M5W 1E6"
16,Toll-free (Canada only):  1-866-306-4636
17,TTY/Teletype writer:  1-866-220-6045
18,"It is a priority for CBC to create a website that is accessible to all Canadians including people with visual, hearing, motor and cognitive challenges."
19,Closed Captioning and Described Video is available for many CBC shows offered on CBC Gem.
20,"

      Asia"
21,"

      Asia"
22,"A damaged wall is seen after an earthquake in Luzhou, in China's south-western Sichuan province on Sep 16, 2021."
23,(Photo: AFP/STR)
24,"BEIJING: Three people were killed and dozens injured when a shallow earthquake struck south-western China on Thursday (Sep 16), triggering the second-highest level of emergency response by rescuers in Sichuan province."
25,"The quake struck Luxian county before dawn on Thursday around 120km south-west of the sprawling megacity of Chongqing, which along with its surrounding area is home to around 30 million people."
26,"Rescue workers rushed to lift people from beneath rubble, moving them out of damaged buildings on stretchers, footage from the Sichuan Fire Brigade showed."
27,"More than a thousand houses in Luxian were reduced to rubble and nearly 30,000 others were damaged, Sichuan authorities said."
28,Local media published images of collapsed ceilings in a hospital as residents milled around in the streets after warnings not to return indoors.
29,The US Geological Survey put the magnitude of the quake at 5.4 but the China Earthquake Networks Centre measured it at magnitude 6.0.
30,Both put it at a shallow depth of 10km.
31,"Sichuan authorities said the seismic event left ""three dead, three seriously injured and 85 slightly injured""."
32,"At least 10,000 people have been moved into emergency shelters, according to the county government."
33,"Footage from Luxian by state broadcaster CCTV showed workers climbing up ladders in pouring rain to remove hazardous debris hanging off buildings, including half-broken panes of glass."
34,"Students had evacuated their dormitories in the dark earlier on Thursday, clutching umbrellas and wearing backpacks, in another video from the Sichuan Daily."
35,Authorities downplayed the immediate threat of a larger aftershock.
36,"""It is unlikely there will be a larger earthquake in the area in the near future, but aftershocks will continue for some time,"" Du Bin, deputy chief of the Sichuan Earthquake Administration, told reporters."
37,"State-run CGTN shared security camera footage showing TVs and refrigerators shaking on the walls of houses as the quake struck, as ornaments smashed onto floors and cracks ran through buildings."
38,"Bricks were strewn across roads and trees felled in some areas, the images showed."
39,"Multiple electricity lines were disrupted and 62,000 households were hit by power cuts after the earthquake, the local government in Sichuan said in a Weibo post."
40,"Traffic on highways passing through the area has been rerouted to make way for emergency vehicles and to avoid damaged roads, the local government said."
41,"China is regularly hit by earthquakes, especially in its mountainous western and south-western regions."
42,"A powerful 7.9-magnitude quake in Sichuan province in 2008 left 87,000 people dead or missing."
43,"Among them were thousands of children, killed when poorly constructed school buildings collapsed, but the government failed to release an exact number of dead as the issue took on a political dimension."
44,Police detained activists who attempted to count the number of children who had died and mark the buildings that collapsed amid suspicions of poor construction.
45,"Thursday's quake comes months after a series of strong earthquakes shook sparsely populated areas in north-west and south-west China in May, killing at least two people and injuring dozens."
46,"
      This service is not intended for persons residing in the E.U."
47,"By clicking subscribe, I agree to receive news updates and promotional material from Mediacorp and Mediacorp's partners."
48, Copyright© Mediacorp 2021.
49,Mediacorp Pte Ltd. All rights reserved.
50,"We know it's a hassle to switch browsers but we want your experience with CNA to be fast, secure and the best it can possibly be."
51,"To continue, upgrade to a supported browser or, for the finest experience, download the mobile app."
52,Upgraded but still having issues?
53,Contact us
54,Election 2021 Sale
55,As low as $1/month
56,Sign In
57,Election 2021 Sale
58,As low as $1/month
59,Subscribe Now
60,Sign In
61,The Star Edition
62,CHANGE LOCATION
63, This copy is for your personal non-commercial use only.
64,"To order
    presentation-ready copies of Toronto Star content for distribution
    to colleagues, clients or customers, or inquire about
    permissions/licensing, please go to: www.TorontoStarReprints.com"
65,"BEIJING (AP) — An earthquake destroyed houses, killed at least three people and injured dozens Thursday in southwest China’s Sichuan province."
66,Rescue work was underway following the magnitude 6.0 earthquake.
67,"It struck at 4:33 a.m. at a depth of 10 kilometers (6 miles) in Luxian, a county in the city of Luzhou, the official Xinhua News Agency said."
68,"State broadcaster CCTV said 88 people were injured, three seriously, and that 35 houses had collapsed."
69,"The epicenter was about 200 kilometers (120 miles) southeast of Chengdu, the provincial capital."
70,"Xinhua reported that collapsed walls and houses could be seen on the way to the epicenter, and that electricity had been cut in much of Jiaming town."
71,Residents could be seen cleaning up.
72,"Rescue workers were going door-to-door in heavy rain searching for people in damaged homes in Fuji town to move them to temporary shelters, Xinhua said."
73,"Workers distributed mooncakes, a traditional treat for next week’s Mid-Autumn Festival, and other food at one shelter."
74,"Lai Jianrong, a Fuji resident, told Xinhua that she felt a mild tremor around 4 a.m. and ran out barefoot in her nightgown when the tremors became intense."
75,"“Some bricks fell off the wall and I didn’t dare to go in again,” the agency quoted her as saying."
76,"More than 3,200 people have been moved to 79 shelters, CCTV said."
77,Western China is regularly hit by earthquakes.
78,"A magnitude- .9 quake in May 2008 left nearly 90,000 people dead in Sichuan, many of them in collapsed schools and other poorly constructed buildings."
79,Copyright owned or licensed by Toronto Star Newspapers Limited.
80,"All
    rights reserved."
81,"Republication or distribution of this content is
    expressly prohibited without the prior written consent of Toronto
    Star Newspapers Limited and/or its licensors."
82,"To order copies of
    Toronto Star articles, please go to: www.TorontoStarReprints.com"
83,Election 2021 Sale
84,As low as $1/month
85,Sign In
86,Election 2021 Sale
87,As low as $1/month
88,Subscribe Now
89,Sign In
90,The Star Edition
91,CHANGE LOCATION
92, This copy is for your personal non-commercial use only.
93,"To order
    presentation-ready copies of Toronto Star content for distribution
    to colleagues, clients or customers, or inquire about
    permissions/licensing, please go to: www.TorontoStarReprints.com"
94,"BEIJING (AP) — An earthquake destroyed houses, killed at least three people and injured dozens Thursday in southwest China’s Sichuan province."
95,Rescue work was underway following the magnitude 6.0 earthquake.
96,"It struck at 4:33 a.m. at a depth of 10 kilometers (6 miles) in Luxian, a county in the city of Luzhou, the official Xinhua News Agency said."
97,"State broadcaster CCTV said 88 people were injured, three seriously, and that 35 houses had collapsed."
98,"The epicenter was about 200 kilometers (120 miles) southeast of Chengdu, the provincial capital."
99,"Xinhua reported that collapsed walls and houses could be seen on the way to the epicenter, and that electricity had been cut in much of Jiaming town."
100,Residents could be seen cleaning up.
101,"Rescue workers were going door-to-door in heavy rain searching for people in damaged homes in Fuji town to move them to temporary shelters, Xinhua said."
102,"Workers distributed mooncakes, a traditional treat for next week’s Mid-Autumn Festival, and other food at one shelter."
